customerID,Gender,PinCode,store_code,till_no,transaction_number_by_till,promo_code,product_code,sale_price_after_promo,discountUsed,Age,Week,Month
20482,2,453441.0,2655,2,85246,0.0,1000446431,55.0,23,42.0,17,5
20485,1,999999.0,2655,8,78829,0.0,1000010431,30.0,23,62.0,10,3
20498,1,400064.0,2655,13,1064,971754.0,1000077851005,418.95,23,36.0,33,8
20499,2,400099.0,2615,14,51080,0.0,1000443231,70.0,23,31.0,50,12
204110,2,474001.0,2655,9,21911,974126.0,300481741,34.2,23,30.0,53,12
204129,0,999999.0,2655,4,22778,0.0,300648527,249.0,23,41.0,3,1
204149,2,401105.0,2906,11,33822,1203034.0,1000479429005,1503.75,23,40.0,45,11
204178,2,456335.0,2655,2,82493,0.0,1000446514,90.0,23,45.0,16,4
204186,1,122002.0,3692,5,11873,0.0,1000257325,113.44,23,40.0,16,4
204232,2,625011.0,4986,13,79027,0.0,108014378,72.0,23,31.0,21,5
204242,2,560097.0,2655,10,60438,1213777.0,1000323996,20.9,23,54.0,47,11
204277,2,625016.0,4986,11,47836,1066428.0,108001161,23.8,23,31.0,52,12
204295,2,600041.0,4986,13,16411,1054778.0,108017906,150.0,23,40.0,50,12
204322,2,600093.0,4986,1,14527,1072310.0,1000258675,188.92,23,56.0,1,1
204334,2,641025.0,4986,13,36412,869304.0,300158262,9.0,23,37.0,18,5
204354,2,999999.0,4986,8,98889,1188959.0,1000218054001,296.65,23,24.0,39,10
204354,2,999999.0,4986,8,98888,0.0,108004629,46.0,23,24.0,39,10
204360,2,425001.0,2906,18,13032,1188261.0,1000200229014,299.5,23,33.0,41,10
204395,2,999999.0,4986,16,35477,1152512.0,1000391224,200.0,23,38.0,27,7
204439,0,411027.0,2655,6,35313,0.0,1000109064,175.0,23,31.0,25,6
204446,0,450331.0,2655,2,57394,1213128.0,830010604003,1257.48,23,45.0,47,11
204451,1,627007.0,4986,6,88989,0.0,300142841,60.0,23,40.0,45,11
204455,2,575004.0,4986,11,21461,0.0,1000091208,50.0,23,47.0,39,9
204461,2,574105.0,2906,20,2499,0.0,300047282,69.0,23,49.0,26,6
204603,2,390008.0,2655,12,9311,0.0,301018395,58.0,23,35.0,41,10
204609,2,462039.0,2655,6,74056,0.0,300481742,40.0,23,30.0,32,8
204610,2,390002.0,2655,2,42897,1196762.0,1000249761004,299.4,23,25.0,41,10
204620,2,411015.0,2655,12,38830,1112981.0,1000474761,259.0,23,29.0,20,5
204707,1,999999.0,2906,14,54186,0.0,1000438421014,599.0,23,50.0,19,5
204710,2,999999.0,2906,6,17669,0.0,108018123,119.0,23,39.0,37,9
204712,1,999999.0,2906,11,47036,0.0,300776410,5.0,23,24.0,5,2
204717,1,452001.0,2906,7,7465,0.0,108100207,51.92,23,69.0,22,6
204717,1,452001.0,2906,8,57880,0.0,108004590,258.0,23,69.0,22,6
204735,2,999999.0,2906,9,7820,0.0,300863237,115.0,23,46.0,22,6
204741,2,452007.0,2906,7,67223,1293877.0,1000680710002,464.3,23,29.0,21,5
204755,2,999999.0,2655,11,75870,0.0,108100277,15.48,23,54.0,3,1
204765,2,999999.0,2906,4,36511,1204289.0,1000638606,45.0,23,48.0,46,11
204859,1,452006.0,2655,2,53181,0.0,108029256,70.0,23,31.0,46,11
204891,2,452010.0,2655,4,18925,0.0,108032496,45.0,23,50.0,45,11
204891,2,452010.0,2655,4,18925,1041645.0,300658528,50.0,23,50.0,45,11
204900,1,452014.0,2906,1,20335,0.0,300776411,14.0,23,36.0,43,10
204910,2,452001.0,2655,4,36751,0.0,1000446187,50.0,23,77.0,11,3
204951,2,452001.0,2655,8,78224,0.0,300776411,14.0,23,46.0,9,3
204957,2,999999.0,2906,19,156,0.0,108020365,0.0,23,33.0,17,4
204964,2,485185.0,2655,12,19827,0.0,300785148,4.0,23,26.0,52,12
204971,2,452008.0,2655,10,77856,1292414.0,300934698,0.0,23,53.0,21,5
204975,2,452001.0,2906,10,20861,0.0,1000535743,149.0,23,27.0,36,9
204984,2,999999.0,2655,7,50115,0.0,108100183,114.0,23,49.0,27,7
2041004,0,452001.0,2655,16,15272,0.0,108020344,200.0,23,40.0,8,2
2041004,0,452001.0,2906,4,33543,0.0,300091863,97.0,23,40.0,44,11
2041010,1,452001.0,2906,4,96225,0.0,1000109366,100.0,23,54.0,18,5
2041049,2,452010.0,2906,14,2927,1150106.0,1000443619003,461.58,23,45.0,25,6
2041050,1,454775.0,2655,10,20315,0.0,108100127,150.12,23,42.0,53,12
2041069,2,999999.0,2655,2,2726,0.0,108004055,450.0,23,37.0,15,4
2041082,1,452001.0,2906,19,50795,1229031.0,830013843009,279.3,23,27.0,2,1
2041113,2,452001.0,2906,6,22371,0.0,108015133,264.0,23,25.0,41,10
2041165,2,999999.0,2906,15,8490,0.0,108029656,40.0,23,37.0,28,7
2041210,1,999999.0,2655,7,88733,0.0,300111517,24.98,23,43.0,9,3
2041210,1,999999.0,2655,7,91275,0.0,108100294,49.38,23,43.0,12,3
2041210,1,999999.0,2655,4,38564,0.0,108100330,54.45,23,43.0,9,3
